text,Condition,Procedure,Medication,original_Condition,original_Procedure,original_Medication
what are the signs and symptoms of osteopetrosis autosomal dominant type 2 the human phenotype ontology provides the following list of signs and symptoms for osteopetrosis autosomal dominant type 2 if the information is available the table below includes how often the symptom is seen in people with this condition you can use the medlineplus medical dictionary to look up the definitions for these medical terms signs and symptoms approximate number of patients when available abnormality of epiphysis morphology 90 abnormality of the metacarpal bones 90 abnormality of the metaphyses 90 aseptic necrosis 90 bone pain 90 facial palsy 90 frontal bossing 90 joint dislocation 90 macrocephaly 90 osteoarthritis 90 osteomyelitis 90 recurrent fractures 90 short distal phalanx of finger 90 anemia 50 genu valgum 50 optic atrophy 50 short stature 50 visual impairment 50 abnormality of leukocytes 7 5 carious teeth 7 5 hearing impairment 7 5 hydrocephalus 7 5 hypocalcemia 7 5 bone marrow hypocellularity 5 abnormality of pelvic girdle bone morphology abnormality of the vertebral endplates autosomal dominant inheritance elevated serum acid phosphatase facial paralysis fractures of the long bones generalized osteosclerosis hip osteoarthritis juvenile onset mandibular osteomyelitis osteopetrosis the human phenotype ontology hpo has collected information on how often a sign or symptom occurs in a condition much of this information comes from orphanet a european rare disease database the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature the frequency may also be listed as a fraction the first number of the fraction is how many people had the symptom and the second number is the total number of people who were examined in one study for example a frequency of 25 25 means that in a study of 25 people all patients were found to have that symptom because these frequencies are based on a specific study the fractions may be different if another group of patients are examined sometimes no information on frequency is available in these cases the sign or symptom may be rare or common,"osteopetrosis autosomal dominant type 2, pain, osteoarthritis, fractures, anemia, hydrocephalus, paralysis",,,"Osteoarthritis, Fractures, Paralysis, Pain, Hydrocephalus, Anemia, Osteopetrosis autosomal dominant type 2",,
dentinogenesis imperfecta type 2 is a rare and severe form of dentinogenesis imperfecta a condition that affects tooth development people affected by the condition may have weak and discolored teeth these problems can affect both primary baby teeth and permanent teeth people with this form of dentinogenesis imperfecta have no normal teeth sensorineural hearing loss has also been found in some affected people dentinogenesis imperfecta type 2 is caused by changes mutations in the dspp gene and is inherited in an autosomal dominant manner treatment is usually focused on protecting primary baby and then permanent teeth with preformed pediatric crowns and other interventions the replacement of teeth might be considered in the future with dentures and or implants,"dentinogenesis imperfecta, hearing loss",dentures,,"Hearing Loss, Dentinogenesis imperfecta type 2, Dentinogenesis imperfecta",Dentures,
congenital dyserythropoietic anemia type 2 cda ii is an inherited blood disorder characterized by mild to severe anemia it is usually diagnosed in adolescence or early adulthood many affected individuals have yellowing of the skin and eyes jaundice and an enlarged liver and spleen hepatosplenomegaly and gallstones this condition also causes the body to absorb too much iron which builds up and can damage tissues and organs in particular iron overload can lead to an abnormal heart rhythm arrhythmia congestive heart failure diabetes and chronic liver disease cirrhosis rarely people with cda type ii have mediastinal tumors cda type ii usually results from mutations in the sec23b gene it is inherited in an autosomal recessive pattern treatment depends on the severity of the symptoms and may involve blood transfusions iron chelation therapy and removal of the spleen and gallbladder,"anemia, jaundice, gallstones, arrhythmia, heart failure, diabetes, cirrhosis",,,"Diabetes, Heart Failure, Gallstones, Jaundice, Cirrhosis, Arrhythmia, Anemia, Congenital dyserythropoietic anemia type 2",,
what treatment might be available for someone who has had recurrence of gigantomastia following a breast reduction breast reduction with or without hormonal therapy is often the first line of treatment for women who have gigantomastia however recurrence of gigantomastia may occur requiring a second breast reduction procedure or mastectomy mastectomy might be recommended following recurrence of gigantomastia after breast reduction especially in those patients who have gigantomastia associated with puberty or pregnancy it is important to discuss this information with a health care provider in order to determine what treatment might be appropriate,,mastectomy,,Gigantomastia,Mastectomy,
what are the signs and symptoms of retinal cone dystrophy 3a the human phenotype ontology provides the following list of signs and symptoms for retinal cone dystrophy 3a if the information is available the table below includes how often the symptom is seen in people with this condition you can use the medlineplus medical dictionary to look up the definitions for these medical terms signs and symptoms approximate number of patients when available nystagmus 5 autosomal dominant inheritance autosomal recessive inheritance cone cone rod dystrophy dyschromatopsia nyctalopia photophobia progressive cone degeneration reduced visual acuity the human phenotype ontology hpo has collected information on how often a sign or symptom occurs in a condition much of this information comes from orphanet a european rare disease database the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature the frequency may also be listed as a fraction the first number of the fraction is how many people had the symptom and the second number is the total number of people who were examined in one study for example a frequency of 25 25 means that in a study of 25 people all patients were found to have that symptom because these frequencies are based on a specific study the fractions may be different if another group of patients are examined sometimes no information on frequency is available in these cases the sign or symptom may be rare or common,retinal cone dystrophy 3a,,,"Cone dystrophy, Cone-rod dystrophy, Retinal cone dystrophy 3A",,
mucoepidermoid carcinoma is a type of cancer of the salivary glands salivary gland cancer is diagnosed in 2 3 individuals per 100 000 people each year and 30 35 of these are mucoepidermoid carcinomas mucoepidermoid carcinoma develops when a cell randomly acquires changes mutations in genes that regulate how the cell divides such that it begins to grow quickly forming a cluster of cells a mass or lump the earliest signs of a mucoepidermoid carcinoma may include a lump in the face neck or mouth numbness weakness or pain in part of the face or difficulty swallowing treatment often begins with surgery to remove the entire tumor in some cases radiation therapy and or chemotherapy may be used after surgery to ensure that no cancer cells remain in the body,"mucoepidermoid carcinoma, cancer, salivary gland cancer, pain","surgery, radiation therapy",,"Salivary Gland Cancer, Cancer, Pain, Mucoepidermoid carcinoma","Radiation Therapy, Surgery",
what are the signs and symptoms of heart hand syndrome slovenian type the human phenotype ontology provides the following list of signs and symptoms for heart hand syndrome slovenian type if the information is available the table below includes how often the symptom is seen in people with this condition you can use the medlineplus medical dictionary to look up the definitions for these medical terms signs and symptoms approximate number of patients when available myopathy 5 aplasia of the middle phalanx of the hand autosomal dominant inheritance brachydactyly syndrome clinodactyly dilated cardiomyopathy syndactyly the human phenotype ontology hpo has collected information on how often a sign or symptom occurs in a condition much of this information comes from orphanet a european rare disease database the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature the frequency may also be listed as a fraction the first number of the fraction is how many people had the symptom and the second number is the total number of people who were examined in one study for example a frequency of 25 25 means that in a study of 25 people all patients were found to have that symptom because these frequencies are based on a specific study the fractions may be different if another group of patients are examined sometimes no information on frequency is available in these cases the sign or symptom may be rare or common,cardiomyopathy,,,"Cardiomyopathy, Heart-hand syndrome, Slovenian type",,
charcot marie tooth disease type 1a cmt1a is a type of inherited neurological disorder that affects the peripheral nerves affected individuals experience weakness and wasting atrophy of the muscles of the lower legs beginning in adolescence later they experience hand weakness and sensory loss cmt1a is caused by having an extra copy a duplication of the pmp22 gene it is inherited in an autosomal dominant manner treatment for this condition may include physical therapy occupational therapy braces and other orthopedic devices orthopedic surgery and pain medications,pain,surgery,,"Charcot-Marie-Tooth Disease, Pain, Charcot-Marie-Tooth disease type 1A",Surgery,
megalocytic interstitial nephritis is a rare chronic kidney disease that is characterized by inflammation of the kidney it is similar to malakoplakia of the kidney in this condition the inflammation is caused by various infiltrate particularly histiocytes a histiocyte is a type of immune cell that eats foreign substances in an effort to protect the body from infection,"chronic kidney disease, malakoplakia",,,"Kidney Disease, Chronic Kidney Disease, Megalocytic interstitial nephritis, Malakoplakia",,
lymphoma is a cancer of a part of the immune system called the lymph system there are many types of lymphoma one type is hodgkin disease the rest are called non hodgkin lymphomas non hodgkin lymphomas begin when a type of white blood cell called a t cell or b cell becomes abnormal the cell divides again and again making more and more abnormal cells these abnormal cells can spread to almost any other part of the body most of the time doctors don t know why a person gets non hodgkin lymphoma you are at increased risk if you have a weakened immune system or have certain types of infections non hodgkin lymphoma can cause many symptoms such as swollen painless lymph nodes in the neck armpits or groin unexplained weight loss fever soaking night sweats coughing trouble breathing or chest pain weakness and tiredness that don t go away pain swelling or a feeling of fullness in the abdomen your doctor will diagnose lymphoma with a physical exam blood tests a chest x ray and a biopsy treatments include chemotherapy radiation therapy targeted therapy biological therapy or therapy to remove proteins from the blood targeted therapy uses substances that attack cancer cells without harming normal cells biologic therapy boosts your body s own ability to fight cancer if you don t have symptoms you may not need treatment right away this is called watchful waiting nih national cancer institute,"lymphoma, cancer, hodgkin lymphoma, fever, chest pain, pain","biopsy, radiation therapy",,"Hodgkin Disease, Fever, Lymphoma, Cancer, Chest Pain, Pain, Hodgkin lymphoma","Radiation Therapy, Biopsy",
